Banjo & Kazooie
Jab 1	4	-20
Jab 2	4	-17
Jab 3	5	-21
Rapid Jab	5	0
Rapid Jab Finisher	7	-31
Forward Tilt	7	-12
Up Tilt	11	-10
Down Tilt	12	-19
Dash Attack	9	-16
Forward Smash	19	-22
Up Smash	9	-35
Down Smash	13	-23
Neutral Air	10	-14
Forward Air	15	-6
Back Air	8	-16
Up Air	7	-10
Down Air	15	-23
Neutral B (Egg Firing)	13	-27
Breegull Blaster	4	-13
Side B (Wonderwing)	18	-54
Up B (Shock Spring Jump)	15	-20
Down B (Rear Egg)	10	-23
Grab	7	0
Dash Grab	10	0
Pivot Grab	11	0
Pummel	1	0

bayonetta
Jab 1	9	-19
Jab 2	7	-21
Jab 3	7	-29
Rapid Jab	6	0
Rapid Jab Finisher	11	-45
Forward Tilt 1	12	-15
Forward Tilt 2	12	-23
Forward Tilt 3	14	-21
Up Tilt	9	-19
Down Tilt	7	-15
Dash Attack	15	-17
Forward Smash	17	-38
Up Smash	18	-35
Down Smash	20	-32
Neutral Air	9	-6
Forward Air 1	7	-7
Forward Air 2	7	-8
Forward Air 3	12	-5
Back Air	11	-5
Up Air	9	-5
Down Air	18	-23
Neutral B (Bullet Climax)	17	-32
Neutral B, Full Charge (Bullet Climax, Full Charge)	42	-29
Side B (Heel Slide)	15	-25
After Burner Kick	7	-18
After Burner Kick, Down	8	-14
Up B (Witch Twist)	6	0
Down B (Witch Time)	8	0
Grab	7	0
Dash Grab	10	0
Pivot Grab	11	0
Pummel	1	0

bowser
Jab 1	7	-13
Jab 2	9	-9
Forward Tilt	10	-15
Up Tilt	11	-19
Down Tilt	10	-22
Dash Attack	11	-33
Forward Smash	22	-32
Up Smash	16	-27
Down Smash	12	-49
Neutral Air	8	-12
Forward Air	11	-9
Back Air	9	-17
Up Air	9	-12
Down Air	17	-31
Neutral B (Fire Breath)	23	0
Side B (Flying Slam)	6	0
Up B (Whirling Fortress)	6	-36
Up B, Air (Whirling Fortress, Air)	6	0
Down B (Bowser Bomb)	11	0
Down B, Air (Bowser Bomb, Air)	31	0
Grab	8	0
Dash Grab	11	0
Pivot Grab	12	0
Pummel	2	0

Bowser Jr
Jab 1	4	-12
Jab 2	4	-22
Rapid Jab	4	0
Rapid Jab Finisher	6	-32
Forward Tilt	7	-18
Up Tilt	7	-19
Down Tilt	4	-11
Dash Attack	8	-17
Forward Smash	18	-12
Up Smash	7	-26
Down Smash	15	-32
Neutral Air	7	-6
Forward Air	10	-11
Back Air	12	-9
Up Air	6	-5
Down Air	15	-11
Neutral B (Clown Cannon)	37	-23
Side B (Clown Kart Dash)	23	0
Clown Kart Dash (spinout)	3	-40
Up B (Abandon Ship)	21	0
Abandon Ship (Hammer)	8	0
Down B (Mechakoopa)	0	0
Grab	11	0
Dash Grab	14	0
Pivot Grab	15	0
Pummel	1	0

Captain Falcon
Jab 1	3	-11
Jab 2	5	-10
Jab 3	6	-20
Rapid Jab	5	0
Rapid Jab Finisher	6	-39
Forward Tilt	7	-14
Up Tilt	14	-12
Down Tilt	11	-13
Dash Attack	7	-13
Forward Smash	19	-27
Up Smash	22	-7
Down Smash	19	-19
Neutral Air	7	-4
Forward Air	14	-11
Back Air	10	-5
Up Air	7	-6
Down Air	16	-7
Neutral B (Falcon Punch)	53	-28
Side B (Raptor Boost)	5	-12
Side B, Air (Raptor Boost, Air)	5	0
Up B (Falcon Dive)	14	0
Down B (Falcon Kick)	15	-51
Down B, Air (Falcon Kick, Air)	16	-25
Grab	6	0
Dash Grab	9	0
Pivot Grab	10	0
Pummel	1	0

Chrom
Jab	5	-10
Forward Tilt	8	-15
Up Tilt	6	-22
Down Tilt	7	-5
Dash Attack	13	-21
Forward Smash	13	-28
Up Smash	12	-29
Down Smash	6	-47
Neutral Air	6	-6
Forward Air	10	-4
Back Air	8	-6
Up Air	5	-4
Down Air	16	-9
Neutral B (Flare Blade)	21	0
Side B, Hit 1 (Double Edged Dance, Hit 1)	9	-26
Double Edged Dance, Hit 2 Neutral	5	-29
Double Edged Dance, Hit 3 Neutral	4	-34
Double Edged Dance, Hit 4 Neutral	7	-45
Double Edged Dance, Hit 2 Up	4	-30
Double Edged Dance, Hit 3 Up	5	-33
Double Edged Dance, Hit 4 Up	6	-31
Double Edged Dance, Hit 3 Down	5	-34
Double Edged Dance, Hit 4 Down	7	-47
Up B (Soaring Slash)	10	-29
Down B (Counter)	8	0
Counter, Attack	4	0
Grab	7	0
Dash Grab	10	0
Pivot Grab	11	0
Pummel	1	0

cloud
Jab 1	4	-21
Jab 2	5	-24
Jab 3	6	-27
Forward Tilt	9	-16
Up Tilt	6	-18
Down Tilt	7	-26
Dash Attack	9	-26
Forward Smash	19	-29
Up Smash	15	-24
Down Smash	8	-38
Neutral Air	5	-5
Forward Air	18	-6
Back Air	11	-3
Up Air	8	-5
Down Air	11	-11
Neutral B (Blade Beam)	18	-25
Limit Blade Beam	16	-9
Side B, Hit 1 (Cross Slash, Hit 1)	10	-25
Cross Slash, Hit 2	2	-25
Cross Slash, Hit 3	2	-24
Limit Cross Slash	10	-12
Up B (Climhazzard)	7	0
Climhazzard, Followup	12	0
Limit Climhazzard	7	-21
Down B (Limit Charge)	0	0
Down B (Finishing Touch)	14	-70
Grab	9	0
Dash Grab	12	0
Pivot Grab	13	0
Pummel	1	0

corrin
Jab 1	5	-19
Jab 2	4	-22
Jab 3	6	-20
Rapid Jab	12	0
Rapid Jab Finisher	3	-32
Forward Tilt	8	-16
Up Tilt	7	-19
Down Tilt	5	-17
Dash Attack	12	-22
Forward Smash	12	-31
Up Smash	13	-31
Down Smash	13	-27
Neutral Air	6	-7
Forward Air	9	-5
Back Air	13	-9
Up Air	7	-5
Down Air	12	-21
Neutral B (Dragon Fang Shot)	17	0
Dragon Fang Shot (chomp)	24	-31
